,SOC,SkillChange
0,Postal Service Mail Carriers,27.12609970674498
1,"Grounds Maintenance Workers, All Other",26.338709677419352
2,"Entertainers and Performers, Sports and Related Workers, All Other",23.775193798449582
3,"Sewers, Hand",20.613333333333326
4,Command and Control Center Specialists,17.10544217687076
5,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",16.949019607843145
6,Chemical Plant and System Operators,14.45556178416277
7,Infantry Officers,13.412964228753744
8,Fish and Game Wardens,12.835784313725476
9,Agricultural Inspectors,12.731638418079132
10,"Coil Winders, Tapers, and Finishers",12.285879629629626
11,Transit and Railroad Police,12.152700186219752
12,Terrazzo Workers and Finishers,11.828141783028999
13,Agricultural Engineers,11.263433806638028
14,"Transportation Workers, All Other",11.223613595706622
15,New Accounts Clerks,11.221403851273388
16,Mathematicians,11.191359023656377
17,Airfield Operations Specialists,11.094386711398462
18,Textile Bleaching and Dyeing Machine Operators and Tenders,11.090156665681322
19,Mechanical Door Repairers,10.932925962768211
20,Environmental Engineering Technicians,10.87744235451846
21,Artillery and Missile Crew Members,10.743524096385535
22,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",10.604651162790674
23,"Mathematical Science Occupations, All Other",10.589784263959382
24,Forensic Science Technicians,10.44558823529415
25,Chiropractors,10.396989651928477
26,"Coin, Vending, and Amusement Machine Servicers and Repairers",10.346615939126927
27,Commercial Pilots,10.184579646672438
28,"Social Sciences Teachers, Postsecondary, All Other",9.999999999999998
29,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",9.715668207395494
30,"Agricultural Sciences Teachers, Postsecondary",9.578638497652605
31,"Electronic Equipment Installers and Repairers, Motor Vehicles",9.555600498870811
32,Agricultural Equipment Operators,9.293710021321957
33,Manufactured Building and Mobile Home Installers,9.290816326530615
34,"Career/Technical Education Teachers, Middle School",9.264742165076642
35,Semiconductor Processors,9.081381604266344
36,"Floor Layers, Except Carpet, Wood, and Hard Tiles",8.866993564204746
37,"Therapists, All Other",8.82487623762377
38,Radar and Sonar Technicians,8.712440981543336
39,Gas Plant Operators,8.66538822493574
40,"Library Science Teachers, Postsecondary",8.611111111111105
41,"Construction and Related Workers, All Other",8.608173883740557
42,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",8.490599424906009
43,"Religious Workers, All Other",8.461977572629465
44,Special Forces,8.41025641025641
45,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8.352090862157981
46,"Rock Splitters, Quarry",8.160447761194023
47,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",8.030303030303033
48,Sociologists,7.991833956131188
49,"Pourers and Casters, Metal",7.983333333333334
50,Actors,7.975346870935116
51,Nuclear Power Reactor Operators,7.864636063869971
52,"Artists and Related Workers, All Other",7.837837837837839
53,"Buyers and Purchasing Agents, Farm Products",7.770927696695177
54,Solar Photovoltaic Installers,7.689441393273013
55,Set and Exhibit Designers,7.6603618421052335
56,Fallers,7.635621252044362
57,Shoe Machine Operators and Tenders,7.599154369093019
58,"Sawing Machine Setters, Operators, and Tenders, Wood",7.57811596582138
59,Helpers--Production Workers,7.575460710209288
60,Audio-Visual and Multimedia Collections Specialists,7.571250901225692
61,"Wholesale and Retail Buyers, Except Farm Products",7.5259231974116
62,Machine Feeders and Offbearers,7.5065789473684035
63,Prepress Technicians and Workers,7.447339627439808
64,Aerospace Engineering and Operations Technicians,7.446712328432422
65,Athletes and Sports Competitors,7.422319474835918
66,Choreographers,7.4050632911392515
67,Hearing Aid Specialists,7.367891357521415
68,"Roustabouts, Oil and Gas",7.312778551102929
69,Riggers,7.2084038779022785
70,Multimedia Artists and Animators,7.1923865568104794
71,"Telecommunications Equipment Installers and Repairers, Except Line Installers",7.172322624486184
72,Veterinarians,7.100749769571905
73,Shoe and Leather Workers and Repairers,7.094017094017087
74,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",7.078153963580834
75,Web Developers,7.007636176062109
76,Nurse Midwives,6.956068573635705
77,"Woodworkers, All Other",6.9353667392883125
78,"Rail Transportation Workers, All Other",6.91683062537024
79,"Arbitrators, Mediators, and Conciliators",6.784429993732233
80,Sailors and Marine Oilers,6.74444976788922
81,"Administrative Law Judges, Adjudicators, and Hearing Officers",6.7412971255236265
82,Mine Cutting and Channeling Machine Operators,6.665605095541407
83,Bailiffs,6.633550870932916
84,Radio Operators,6.590858636313171
85,Desktop Publishers,6.537990301139363
86,Statistical Assistants,6.4380999977224915
87,Hazardous Materials Removal Workers,6.421330503751411
88,Gas Compressor and Gas Pumping Station Operators,6.41406726042731
89,"Helpers, Construction Trades, All Other",6.402819388498304
90,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",6.401855456452387
91,"Plant and System Operators, All Other",6.342654526815111
92,"Special Education Teachers, Secondary School",6.336813945782461
93,Petroleum Engineers,6.320274850727079
94,Forest Fire Inspectors and Prevention Specialists,6.286387909954025
95,Biomedical Engineers,6.255888241652339
96,"Makeup Artists, Theatrical and Performance",6.253946687370587
97,Orthotists and Prosthetists,6.249102708568103
98,Postal Service Clerks,6.219316333264214
99,"Mining and Geological Engineers, Including Mining Safety Engineers",6.207010550436251
100,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",6.194190366626427
101,Social Science Research Assistants,6.099583569809471
102,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",6.091533295048804
103,Ship Engineers,6.067695351890259
104,Transportation Security Screeners,6.0471367056876
105,"Assemblers and Fabricators, All Other",6.034884295959102
106,"Textile, Apparel, and Furnishings Workers, All Other",6.020112770523308
107,Animal Scientists,6.012547379427514
108,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",5.996948561464693
109,"First-Line Supervisors of Protective Service Workers, All Other",5.992584860321704
110,"Mixing and Blending Machine Setters, Operators, and Tenders",5.98671832514223
111,Database Administrators,5.953235069555192
112,Models,5.925729405835233
113,Conveyor Operators and Tenders,5.919105171411981
114,Brokerage Clerks,5.876441833775786
115,Court Reporters,5.874505503113862
116,Aircraft Launch and Recovery Specialists,5.864781941705021
117,Financial Examiners,5.861607063949772
118,Museum Technicians and Conservators,5.847218876766989
119,Subway and Streetcar Operators,5.827056090814768
120,"Art, Drama, and Music Teachers, Postsecondary",5.819756814015046
121,Computer Operators,5.785739298098258
122,Materials Scientists,5.784354964541831
123,Computer and Information Research Scientists,5.7651920082176895
124,Continuous Mining Machine Operators,5.752776523702025
125,Sales Engineers,5.733761221692893
126,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5.731428571428582
127,Computer and Information Systems Managers,5.709269310483021
128,Computer Programmers,5.677835149888802
129,Wind Turbine Service Technicians,5.662153525048018
130,Nuclear Engineers,5.661750218146271
131,Nuclear Technicians,5.6531075460486955
132,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",5.650779983626966
133,"Sales Representatives, Services, All Other",5.6406191305451
134,First-Line Supervisors of Correctional Officers,5.605576407506685
135,Survey Researchers,5.604994516156224
136,"Patternmakers, Wood",5.6000000000000005
137,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",5.579394605414025
138,Computer Network Architects,5.576586342891282
139,Electromechanical Equipment Assemblers,5.575498575498577
140,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",5.5467973912667885
141,"Software Developers, Applications",5.50648101539786
142,"Mining Machine Operators, All Other",5.504371584699451
143,Cargo and Freight Agents,5.49947024063642
144,Network and Computer Systems Administrators,5.499009992216288
145,Chemical Technicians,5.486820535458763
146,Transportation Inspectors,5.46179518433379
147,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5.451956791040449
148,"Meat, Poultry, and Fish Cutters and Trimmers",5.446138246461837
149,Security and Fire Alarm Systems Installers,5.439684087789328
150,Carpet Installers,5.435538461538468
151,"Software Developers, Systems Software",5.430407243628242
152,"Cooks, Short Order",5.425496224661874
153,Historians,5.42532063492064
154,"Social Scientists and Related Workers, All Other",5.420784272667245
155,Tour Guides and Escorts,5.420130717960874
156,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",5.418689016562007
157,Advertising and Promotions Managers,5.417902484812635
158,"Control and Valve Installers and Repairers, Except Mechanical Door",5.3644130969779535
159,Electronic Home Entertainment Equipment Installers and Repairers,5.306898452770685
160,Computer Network Support Specialists,5.286667703383425
161,Information Security Analysts,5.283733340270757
162,Forest and Conservation Workers,5.276222257282946
163,"Environmental Science Teachers, Postsecondary",5.27607733912731
164,Curators,5.263046157119246
165,Commercial and Industrial Designers,5.261901455488998
166,Telecommunications Line Installers and Repairers,5.2410210410917495
167,Marine Engineers and Naval Architects,5.219571388283821
168,Crane and Tower Operators,5.196073427512256
169,"Graders and Sorters, Agricultural Products",5.1853531316237405
170,"Tax Examiners and Collectors, and Revenue Agents",5.18425370174359
171,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",5.140289037257041
172,"Fine Artists, Including Painters, Sculptors, and Illustrators",5.131191112265297
173,Photographic Process Workers and Processing Machine Operators,5.128534660740707
174,Statisticians,5.120893313605112
175,Conservation Scientists,5.115223967869022
176,Agricultural and Food Science Technicians,5.114028039357623
177,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",5.089073694221478
178,"Information and Record Clerks, All Other",5.079078624813132
179,Urban and Regional Planners,5.078219872211477
180,Demonstrators and Product Promoters,5.078070135999307
181,Traffic Technicians,5.062936412208117
182,Purchasing Managers,5.045836761756584
183,Medical Equipment Repairers,5.012817859519567
184,"Opticians, Dispensing",5.011178414078973
185,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5.005837762409106
186,First-Line Supervisors of Fire Fighting and Prevention Workers,5.005043236739274
187,Instructional Coordinators,4.995910862614738
188,Correspondence Clerks,4.9828405189419
189,"Computer Occupations, All Other",4.982050245166453
190,"Healthcare Practitioners and Technical Workers, All Other",4.962948531711563
191,"Radio, Cellular, and Tower Equipment Installers and Repairs",4.960881882598445
192,Computer Hardware Engineers,4.949886714385573
193,Tax Preparers,4.941225084449017
194,Archivists,4.929231452940302
195,Market Research Analysts and Marketing Specialists,4.9094030456415
196,"Airline Pilots, Copilots, and Flight Engineers",4.908390184859178
197,Civil Engineering Technicians,4.905770886047417
198,Cement Masons and Concrete Finishers,4.860363499746024
199,Construction Laborers,4.85324896749778
200,"Captains, Mates, and Pilots of Water Vessels",4.852164513445455
201,Art Directors,4.8472384733469225
202,"Morticians, Undertakers, and Funeral Directors",4.845932889411154
203,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",4.843594675706365
204,Cost Estimators,4.838717422569488
205,Rail Car Repairers,4.836411859744992
206,Power Distributors and Dispatchers,4.830744344728992
207,Farm and Home Management Advisors,4.802444467966139
208,Fashion Designers,4.793218107198728
209,"Motor Vehicle Operators, All Other",4.7927271579855155
210,Industrial Engineers,4.779252592135768
211,Biological Technicians,4.7790507779862965
212,Computer Systems Analysts,4.758687269507465
213,"Military Officer Special and Tactical Operations Leaders, All Other",4.7530534868968575
214,Log Graders and Scalers,4.752498478084418
