Key,xTSNE,yTSNE
communication skills,1.6735615,-10.497198
customer service,2.1247246,-10.634739
teamwork / collaboration,1.6441607,-10.194818
sales,-9.495727,-21.883495
organizational skills,1.9365234,-10.696201
microsoft excel,1.9780686,-11.867119
problem solving,1.4787185,-9.9675665
scheduling,3.0372126,-10.387402
planning,2.3915505,-9.852564
writing,1.8824322,-10.491833
computer literacy,2.9544911,-11.092427
detail-oriented,1.4028181,-10.83672
physical abilities,3.8913517,-9.693318
microsoft office,2.066048,-11.55398
research,2.2679543,-10.535221
budgeting,2.8255422,-10.954387
written communication,1.5970677,-10.385458
building effective relationships,1.9624244,-11.21535
project management,-2.7162647,-11.609258
customer contact,2.0501504,-10.628581
retail industry knowledge,1.2739432,-9.323445
english,2.9722667,-10.024691
multi-tasking,1.6563165,-10.987408
creativity,0.8956139,-10.581227
repair,10.398532,16.616343
troubleshooting,-29.99861,8.083394
microsoft word,2.437876,-11.936667
time management,1.5720903,-10.6612625
patient care,26.40205,-5.091973
microsoft powerpoint,1.334164,-12.616132
teaching,15.301541,-13.060487
verbal / oral communication,1.2936238,-10.220931
staff management,3.37967,-10.601289
quality assurance and control,3.549724,-8.229452
leadership,2.1214476,-9.763417
accounting,1.4773823,-26.272745
sql,-38.54032,-3.7811525
cleaning,7.376462,-15.358193
product sales,0.9159248,-9.480665
presentation skills,0.29248142,-11.857289
administrative support,8.910272,-19.198723
merchandising,0.79873097,-7.2458982
data entry,7.400937,-15.636659
cardiopulmonary resuscitation (cpr),21.343351,-4.694299
typing,7.722531,-18.536266
energetic,1.2849766,-11.415959
self-starter,0.2299821,-10.187847
business development,-2.3057737,-14.682535
customer billing,4.5923567,-20.869772
lifting ability,3.9177475,-9.669468
bilingual,13.876324,-20.629482
meeting deadlines,0.90741736,-11.154228
analytical skills,0.14130445,-10.86963
positive disposition,2.2197409,-10.986831
java,-45.113434,-9.016864
sales goals,-9.948812,-22.84009
software development,-43.838486,-8.671886
oracle,-34.43084,-3.6243584
technical support,-29.99135,7.942078
telephone skills,7.8904567,-18.801615
supervisory skills,4.0947523,-10.508549
listening,1.4903637,-9.666867
decision making,2.2172134,-9.965119
spanish,14.175657,-20.909628
product knowledge,0.1022358,-9.603057
mentoring,2.1208894,-9.604417
quality management,3.5549338,-8.109039
spreadsheets,4.2926693,-12.45076
treatment planning,25.501205,-7.1237392
retail sales,1.2554866,-12.109334
oral communication,1.377066,-10.193384
sales management,-10.072827,-22.559706
store management,0.74936587,-6.9751177
business process,-30.08723,1.8197328
editing,5.9065127,-16.977924
basic mathematics,4.4504223,-9.523702
information systems,1.7372469,-7.475695
sap,-0.120261155,-1.7375466
purchasing,5.5171,0.31585684
linux,-47.67976,2.6330028
process improvement,1.5843337,-8.693114
forklift operation,9.254617,12.173047
appointment setting,7.805042,-18.280912
javascript,-46.1165,-13.484719
advanced cardiac life support (acls),30.906075,-3.2327976
software engineering,-44.210434,-8.759525
cash handling,5.459325,-18.486662
marketing,-17.099897,-26.866493
occupational health and safety,13.558816,17.232819
customer checkout,4.8128295,-19.442873
description and demonstration of products,0.5394576,-9.747868
preventive maintenance,10.003847,17.25807
record keeping,5.1073318,-9.947684
critical thinking,7.4751053,-8.490002
work area maintenance,12.889714,5.570095
project planning and development skills,-3.196071,-11.803851
prospective clients,-8.592868,-19.742727
data analysis,-1.9463048,-9.685034
people management,1.7867056,-10.287256
prioritizing tasks,1.7485058,-10.948578
microsoft access,2.9052804,-11.968632
business administration,0.32205823,-13.322916
procurement,4.7908545,1.3862064
unix,-46.84027,2.2815523
social media,-24.508707,-31.513783
calculation,4.2669287,-12.096792
cost control,1.4589413,-4.0191975
telecommunications,-37.788536,22.354399
inventory management,9.754612,6.354516
financial analysis,-1.4405768,-26.476456
case management,23.052969,-13.770809
outside sales,-8.592379,-21.31658
microsoft outlook,2.4388413,-12.115073
product development,-9.4826355,21.570038
administrative functions,8.136243,-17.778246
packaging,11.129388,8.947876
home health,20.449472,-10.72881
word processing,4.6565595,-12.7730055
acute care,26.467388,-5.6396327
business analysis,-30.49025,1.5219313
cooking,14.509356,-9.546212
microsoft windows,-38.043304,11.581533
client base retention,-8.517636,-19.8247
financial reporting,0.6421594,-25.871597
medical coding,27.645716,-29.777042
performance appraisals,2.5138183,-8.492139
physical therapy,31.10092,-17.65758
training programs,5.2180934,-7.910669
machinery,-5.5723147,39.037045
microsoft c#,-43.923943,-10.839815
technical writing / editing,-29.441309,6.757308
guest services,-0.3257039,-19.667377
rehabilitation,29.257366,-16.263426
inventory control,9.751698,6.368609
performance analysis,2.4854994,-8.476908
negotiation skills,-2.1366625,-14.553266
business planning,-3.2007189,-15.097681
extensible markup language (xml),-44.96563,-10.131978
enterprise resource planning (erp),-0.08544258,-1.763018
.net,-43.45354,-11.384588
conflict management,2.8155112,-9.465659
sql server,-38.267353,-3.9507296
strategic planning,-0.6374161,-13.781928
python,-55.71008,-9.060853
hand tools,-7.7590113,43.0688
change management,-3.6773596,-11.866154
plumbing,-0.98862904,43.956715
store operations,0.64198506,-6.7599583
food safety,26.411758,28.226429
account management,-10.621601,-21.171352
c++,-44.671146,-9.432117
operations management,2.3322172,-8.38538
predictive / preventative maintenance,9.968564,17.29686
patient/family education and instruction,26.044205,-4.191791
mental health,23.484747,-14.541101
performance management,-0.27761602,-11.667119
surgery,33.67531,-3.4593344
hvac,-0.9457465,43.68598
product management,-14.023645,-23.694626
onboarding,-0.16181271,-12.351871
microsoft sharepoint,-36.27342,-3.4313087
preparing reports,5.292873,-11.755855
adobe photoshop,-31.598099,-27.80585
key performance indicators (kpis),-1.9663349,-12.141111
risk management,3.526451,-14.344835
facebook,0.58841,-11.077635
life support,27.75568,-3.7260845
economics,-3.116233,-25.70198
inventory maintenance,10.838166,5.789706
general office duties,8.333995,-18.684494
business acumen,-3.1666038,-14.3880415
salesforce,-14.443476,-19.437216
welding,-10.2912655,44.50459
e-commerce,-42.086067,-16.50449
data collection,5.529821,-10.852678
food preparation,14.488146,-9.52644
child care,19.231836,-15.875237
legal compliance,4.5501385,-13.542288
calculator,6.948175,-17.86461
systems engineering,-33.3782,13.455182
cross sell,-8.37667,-19.754654
restaurant management,11.337418,-16.414986
microsoft project,-7.7913637,10.418651
system administration,-42.980305,9.456733
