index,machine,top25
0,0,"'emergency response', 'medical emergencies', 'alarm system monitoring', 'security patrol', 'inspection of safety equipment and/or alarm systems', 'crowd control', 'law enforcement or criminal justice experience', 'detection of suspicious or criminal activity', 'security vehicle operation', 'two-way radio operation', 'first aid', 'security experience', 'security camera monitoring', 'handling of crisis or emergency situations', 'healthcare security', 'emergency lighting', 'emergency services', 'law enforcement', 'deterrence of rule or safety violations', 'prevention of criminal activity', 'emergency medical care', 'traffic laws', 'surveillance system monitoring', 'snow removal', 'animal control'"
1,0,"'afferent', 'conjunctiva', 'corneal topography', 'amblyopia', 'fundus', 'strabismus', 'intraocular pressure', 'visual field test', 'myopia', 'oculoplastics', 'retinal disease knowledge', 'hyperopia', 'diplopia', 'fluorescein angiography', 'anterior chamber', 'chalazion', 'ophthalmologic procedures', 'tonometry', 'ocular disorders', 'lens prescription', 'refraction', 'ophthalmic surgery', 'retinopathy', 'electroretinogram', 'corneal transplant'"
2,0,"'preschool setting', 'early education and care', 'child care practices', 'child supervision', 'early childhood teacher qualifications', ""children's needs"", 'pervasive developmental disorder', 'early education program', 'child cpr', 'child and family studies', 'child behavior', 'special needs children', 'child care administration', 'developmental delay', 'child care program', 'developmentally delayed children', 'child care setting', 'care giving routines', 'guided reading', 'head start performance standards', 'sensory integration', 'child development', 'changing diapers', 'day care setting', 'emotional impairment'"
3,0,"'arabic', 'swahili', 'turkish', 'hindi', 'dutch', 'french', 'filipino', 'russian', 'dari', 'chinese', 'urdu', 'malay', 'vietnamese', 'simultaneous translation', 'pashto', 'language examination', 'indonesian', 'korean', 'persian', 'hebrew', 'portuguese', 'italian', 'computer-assisted translation', 'swedish', 'consecutive translation'"
4,2,"'central service certification', 'polypectomy', 'endoscopic equipment', 'central processing experience', 'antisepsis', 'endoscopic procedure', 'surgical instrument processing', 'therapeutic endoscopic procedures', 'endoscope', 'sigmoidoscopy', 'food and nutritional services', 'ethylene oxide (eto) sterilization', 'diet explanation', 'auscultate', 'supply preparation', 'gi tract', 'surgical sterilization', 'anesthetic drugs', 'aseptic technique', 'liver biopsy', 'esophagogastroduodenoscopy (egd)', 'food measuring', 'colonoscopy', 'laminar flow hood maintenance', 'patient dressing'"
5,0,"'student learning outcomes', 'academic advisement', 'academic counseling', 'sociology', 'maintaining student records', 'academic support services', 'learning styles', 'gifted education', 'student placement', 'student evaluation', 'english as a second language', 'language arts', 'political science', 'higher education administration', 'academic achievement improvement', 'curriculum mapping', 'working with under-served students', 'managing student data', 'tutoring', 'curriculum development', 'social studies', 'history', 'higher education leadership', 'academic program development', 'teaching speakers of other languages'"
6,3,"'hand-wanding', 'baggage screening', 'pat-down searches', 'passenger screening', 'security x-ray interpretation', 'x-ray evaluation', 'transportation security', 'hearing examination', 'public transit systems', 'metal detector monitoring', 'security x-ray operation', 'x-ray (radiograph) interpretation', 'responding to security breaches', 'sf-86', 'aviation security', 'x-ray (radiograph) machines', 'armed experience', 'civil aviation', 'handling of crisis or emergency situations', 'viscera', 'mobile x-ray equipment', 'x-rays', 'deterrence of rule or safety violations', 'cardiovascular system', 'ship terminal operations'"
7,1,"'enterprise master patient index (empi)', 'healthcare information system management', 'electronic health records', 'clinical information systems / technology', 'eclipsys', 'health information system administration', 'health information exchange (hie) technology', 'electronic health record implementation', 'ambulatory electronic health records', 'allscripts ehr', 'computerized physician order entry (cpoe)', 'healthcare information system support', 'health information management applications', 'healthcare information', 'health information exchange (hie)', 'computerized provider order entry (cpoe)', 'health informatics', 'health information experience', 'knowledge of clinical informatics', 'healthcare software implementation', 'knowledge of healthcare applications', 'clinical data exchange', 'clinical system improvement', 'centricity', 'regional health information organization (rhio)'"
8,1,"'software-in-the-loop', 'mathworks stateflow', 'canape', 'canalyzer', 'automotive open system architecture (autosar)', 'mathworks simulink', 'model-based design (mbd)', 'lauterbach', 'do-178b', 'do-178c', 'dspace', 'iec 61508', 'embedded c', 'qnx operating system', 'arinc 429', 'microcontrollers', 'arp4754', 'sysml', 'electronics hardware', 'real-time operating system (rtos)', 'infotainment', 'hybrid vehicle', 'arp4761', 'do-254', 'guidance navigation and control systems'"
9,0,"'dynamic balance training', 'deformity prevention', 'muscle re-education', 'patient function maximization', 'proprioception', 'orthotics equipment', 'passive exercise', 'functional based therapy', 'cognitive retraining', 'short-wave diathermy', 'lymphedema', 'ambulatory functional activities', 'heat therapy', 'orthopedic rehabilitation', 'joint mobilization', 'enterostomal therapist', 'physical disability prevention', 'spasticity', 'hemiplegia', 'bioness', 'sensory motor skills', 'standard therapy', 'dysarthria', 'hand mentor', 'serial casting'"
