Key,xTSNE,yTSNE
"Health Technologists and Technicians, All Other",20.574524,-26.666245
Industrial Production Managers,-1.1325322,15.826319
Physician Assistants,23.21735,-26.929657
Human Resources Specialists,12.220776,1.9214085
Licensed Practical and Licensed Vocational Nurses,21.90587,-25.367756
Maids and Housekeeping Cleaners,-14.332756,-5.3098025
Instructional Coordinators,15.379825,3.0818138
Actuaries,11.563265,6.5465193
Accountants and Auditors,11.810822,-1.580181
"Education Teachers, Postsecondary",23.13722,-8.552786
"Managers, All Other",9.688226,4.6009564
Retail Salespersons,-6.147521,-2.6466632
"Postsecondary Teachers, All Other",24.626034,-9.505061
Registered Nurses,22.664158,-26.08623
Physical Therapist Assistants,23.204056,-21.86487
Web Developers,15.930659,14.463983
First-Line Supervisors of Office and Administrative Support Workers,9.387038,0.9818812
"Office Clerks, General",7.6331134,-7.3679857
"Dispatchers, Except Police, Fire, and Ambulance",1.3648374,-5.883163
Commercial Pilots,-8.387274,17.311996
Surgical Technologists,21.45952,-27.515995
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",7.9785323,-6.5341864
Network and Computer Systems Administrators,13.921604,16.519367
Cashiers,-12.447756,-10.876841
Automotive Service Technicians and Mechanics,-25.29297,14.416651
Occupational Therapists,23.487936,-21.088478
Avionics Technicians,-22.475946,18.835882
Computer User Support Specialists,12.920385,15.932574
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",-3.360365,-0.7275557
Cement Masons and Concrete Finishers,-33.513496,16.288448
Carpenters,-32.8278,17.035303
Pharmacy Technicians,14.409513,-22.299915
Chief Executives,9.577457,2.9399667
Medical and Health Services Managers,17.307053,-18.548742
Obstetricians and Gynecologists,23.805408,-27.346678
Editors,21.722612,8.118205
Insurance Sales Agents,-2.042029,-0.56033415
Demonstrators and Product Promoters,-4.796139,-3.0473404
Detectives and Criminal Investigators,13.125626,10.434153
Medical Transcriptionists,10.115953,-11.4736
Market Research Analysts and Marketing Specialists,23.878029,7.5714774
Nursing Assistants,21.433254,-24.63015
Sales Managers,-3.6998203,-0.6328953
"Maintenance and Repair Workers, General",-24.74406,17.688805
Mechanical Engineers,2.4704657,19.553253
"Securities, Commodities, and Financial Services Sales Agents",0.80190164,-1.05653
Bus and Truck Mechanics and Diesel Engine Specialists,-26.133492,14.433965
Chemical Engineers,0.9072668,18.244953
Operations Research Analysts,10.614228,9.359595
Information Security Analysts,14.610852,17.077763
"Computer Occupations, All Other",14.020035,14.844353
"Inspectors, Testers, Sorters, Samplers, and Weighers",-1.5531276,16.41117
Training and Development Specialists,14.325909,2.6001427
Aircraft Mechanics and Service Technicians,-22.905739,18.253948
Management Analysts,12.602141,13.329557
Psychiatrists,23.497196,-17.767614
Database Administrators,14.961573,15.172242
Transportation Security Screeners,-0.17043611,-17.3192
Cost Estimators,-5.779095,13.057846
Waiters and Waitresses,-13.52098,-9.658436
Food Service Managers,-9.963937,-9.006156
Epidemiologists,7.4743752,-21.226923
Bakers,-15.324055,-7.8062625
Merchandise Displayers and Window Trimmers,-6.9886084,-2.663993
Electricians,-23.24773,20.885979
Economists,10.120967,7.657908
Statisticians,11.301864,10.003458
Nurse Practitioners,23.62417,-26.464827
Compliance Officers,11.075588,4.530585
Sales Engineers,11.983117,15.187296
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-25.133804,17.961927
First-Line Supervisors of Retail Sales Workers,-5.921195,-2.4346344
General and Operations Managers,9.562761,3.8363578
Computer Systems Analysts,13.6998825,14.462306
Sheet Metal Workers,-30.774963,9.193033
Flight Attendants,-8.1656275,-13.385816
"Hairdressers, Hairstylists, and Cosmetologists",-5.319515,-8.273348
"Cooks, Restaurant",-14.213654,-9.993759
Respiratory Therapists,22.099344,-29.416225
