Key,xTSNE,yTSNE
child care,35.096375,-26.081858
retail industry knowledge,5.7835565,-10.02413
teaching,27.947704,-43.786354
hardware experience,-30.151466,29.537212
computer installation and setup,-30.486122,30.328691
hardware and software configuration,-31.256542,28.338566
technical support,-9.31072,8.804939
hardware and software installation,-31.15388,29.430729
help desk support,-32.178883,30.067022
buying experience,7.899033,6.3564706
sales,-8.335285,-23.865946
sales goals,-10.46569,-26.892797
customer service,5.8768477,-10.212568
web site design,-44.819008,-33.69577
online marketing,-29.170975,-46.47264
apple macintosh,-26.226488,28.386625
adobe photoshop,-45.114048,-35.397995
information architecture,-54.22854,-34.94982
interface design,-9.054619,16.58625
proofing,1.5539243,-8.385268
hypertext markup language,-42.787952,-31.852333
web 2.0,-53.536003,-4.9927993
e-commerce,-53.068188,-6.372725
fine arts,-46.948547,-34.748314
graphic design,-45.789482,-34.81528
creative design,-46.52269,-35.720737
javascript,-54.48365,-3.3678985
adobe dreamweaver,-44.919186,-33.728237
graphical user interface (gui),-50.705193,5.02131
neurology,57.15549,-9.544174
surgery,60.81005,-12.473679
gynecology,58.71828,-10.75747
obstetrics/gynecology,58.58148,-11.605297
oncology,54.619595,-8.345729
orthopedic surgery,58.47812,-9.112915
physician recruiting,31.74216,-28.047895
hand tools,5.726868,58.400494
inventory control,18.284388,-0.13166969
refunds exchanges and adjustments,12.062622,-0.36202383
peoplesoft,-33.732536,-6.7612257
inventory management,18.291073,-0.19818126
forklift operation,21.312754,8.447487
accounting,8.535394,-40.250782
ad hoc reporting,4.130859,-40.07999
equipment inventory,22.722174,23.040623
staff management,7.8751144,-11.565785
scanners,-28.805084,28.214214
sarbanes-oxley (sox),5.332895,-40.124454
equipment inspection,20.566807,23.686022
fixed assets,11.223164,-43.575653
operations management,8.228529,-6.222352
purchasing,5.346562,1.6776463
retail sales,-7.9772525,-23.914759
marketing programs,-20.086246,-31.966763
sales management,-10.0784855,-25.932999
staff development,8.264808,-12.176398
cold calling,-7.899347,-26.569387
outside sales,-7.6043587,-26.657959
lifting ability,18.78615,-13.083366
data entry,20.789675,-19.226576
scheduling,7.556952,-11.309032
machining,8.294726,49.41118
fiserv,2.1000109,-57.908733
equipment moving,24.112951,8.215765
technical assistance,10.492177,-10.878688
materials transport,23.883942,7.142081
basic mathematics,19.431057,-14.532546
machine operation,9.309944,49.85328
vmware esxi,-42.881176,26.97524
it support,-31.745394,30.19143
business development,-0.94425184,-14.455915
disaster recovery planning,-36.68438,22.64272
hardware support,-31.097036,30.901146
microsoft windows,-29.817179,27.820768
systems analysis,-14.267985,6.257459
citrix,-40.221718,28.587904
configuration management,-15.561943,11.860095
